sample	Group
19G	Wet_Background
23G	Wet_Background
27G	Wet_Background
1G	Wet_Background
5G	Wet_Background
10G	Wet_Background
13G	Wet_Background
17G	Wet_Background
21G	Wet_Background
25G	Wet_Background
30G	Wet_Background
10D	Wet_Control
11D	Wet_Control
12D	Wet_Control
13D	Wet_Control
14D	Wet_Control
15D	Wet_Control
16D	Wet_Control
18D	Wet_Control
20D	Wet_Control
22D	Wet_Control
24D	Wet_Control
26D	Wet_Control
10F	Wet_Low
11F	Wet_Low
12F	Wet_Low
13F	Wet_Low
14F	Wet_Low
15F	Wet_Low
16F	Wet_Low
18F	Wet_Low
20F	Wet_Low
22F	Wet_Low
24F	Wet_Low
26F	Wet_Low
10E	Wet_Medium
11E	Wet_Medium
12E	Wet_Medium
13E	Wet_Medium
14E	Wet_Medium
15E	Wet_Medium
16E	Wet_Medium
18E	Wet_Medium
20E	Wet_Medium
22E	Wet_Medium
24E	Wet_Medium
26E	Wet_Medium
B1	Dry_Background
B2	Dry_Background
B3	Dry_Background
B4	Dry_Background
B5	Dry_Background
B6	Dry_Background
B7	Dry_Background
B8	Dry_Background
G1	Dry_Control
G2	Dry_Control
G3	Dry_Control
G4	Dry_Control
G5	Dry_Control
G6	Dry_Control
G7	Dry_Control
G8	Dry_Control
G9	Dry_Control
G10	Dry_Control
G11	Dry_Control
G12	Dry_Control
G13	Dry_Control
G14	Dry_Control
G15	Dry_Control
G16	Dry_Control
G17	Dry_Control
G18	Dry_Control
G19	Dry_Control
J1	Dry_Low
J2	Dry_Low
J3	Dry_Low
J4	Dry_Low
J5	Dry_Low
J6	Dry_Low
J7	Dry_Low
J8	Dry_Low
J9	Dry_Low
J10	Dry_Low
J11	Dry_Low
J12	Dry_Low
J13	Dry_Low
J14	Dry_Low
J15	Dry_Low
J16	Dry_Low
J17	Dry_Low
J18	Dry_Low
J19	Dry_Low
H1	Dry_Medium
H2	Dry_Medium
H3	Dry_Medium
H4	Dry_Medium
H5	Dry_Medium
H6	Dry_Medium
H7	Dry_Medium
H8	Dry_Medium
H9	Dry_Medium
H10	Dry_Medium
H11	Dry_Medium
H12	Dry_Medium
H13	Dry_Medium
H14	Dry_Medium
H15	Dry_Medium
H16	Dry_Medium
H17	Dry_Medium
H18	Dry_Medium
H19	Dry_Medium
LA	55L_Day0
LB	55L_Day0
LC	55L_Day0
L13	55L_Control
L14	55L_Low
L15	55L_Medium
L16	55L_High
L21	55L_Control
L22	55L_Low
L23	55L_Medium
L24	55L_High
L25	55L_Control
L26	55L_Low
L27	55L_Medium
L28	55L_High
L1	55L_Control
L2	55L_Low
L3	55L_Medium
L4	55L_High
L9	55L_Control
L10	55L_Low
L11	55L_Medium
L12	55L_High
L5	55L_Control
L6	55L_Low
L7	55L_Medium
L8	55L_High
L17	55L_Control
L18	55L_Low
L19	55L_Medium
L20	55L_High
