Sample	Group
13D	Wet_Meso_Control
14D	Wet_Meso_Control
15D	Wet_Meso_Control
16D	Wet_Meso_Control
18D	Wet_Meso_Control
20D	Wet_Meso_Control
22D	Wet_Meso_Control
24D	Wet_Meso_Control
26D	Wet_Meso_Control
13F	Wet_Meso_Low
14F	Wet_Meso_Low
15F	Wet_Meso_Low
16F	Wet_Meso_Low
18F	Wet_Meso_Low
20F	Wet_Meso_Low
22F	Wet_Meso_Low
24F	Wet_Meso_Low
26F	Wet_Meso_Low
13E	Wet_Meso_Medium
14E	Wet_Meso_Medium
15E	Wet_Meso_Medium
16E	Wet_Meso_Medium
18E	Wet_Meso_Medium
20E	Wet_Meso_Medium
22E	Wet_Meso_Medium
24E	Wet_Meso_Medium
26E	Wet_Meso_Medium
G4	Dry_Meso_Control
G6	Dry_Meso_Control
G7	Dry_Meso_Control
G8	Dry_Meso_Control
G9	Dry_Meso_Control
G11	Dry_Meso_Control
G12	Dry_Meso_Control
G13	Dry_Meso_Control
G14	Dry_Meso_Control
G15	Dry_Meso_Control
G16	Dry_Meso_Control
G17	Dry_Meso_Control
G18	Dry_Meso_Control
G19	Dry_Meso_Control
J4	Dry_Meso_Low
J6	Dry_Meso_Low
J7	Dry_Meso_Low
J8	Dry_Meso_Low
J9	Dry_Meso_Low
J11	Dry_Meso_Low
J12	Dry_Meso_Low
J13	Dry_Meso_Low
J14	Dry_Meso_Low
J15	Dry_Meso_Low
J16	Dry_Meso_Low
J17	Dry_Meso_Low
J18	Dry_Meso_Low
J19	Dry_Meso_Low
H4	Dry_Meso_Medium
H6	Dry_Meso_Medium
H7	Dry_Meso_Medium
H8	Dry_Meso_Medium
H9	Dry_Meso_Medium
H11	Dry_Meso_Medium
H12	Dry_Meso_Medium
H13	Dry_Meso_Medium
H14	Dry_Meso_Medium
H15	Dry_Meso_Medium
H16	Dry_Meso_Medium
H17	Dry_Meso_Medium
H18	Dry_Meso_Medium
H19	Dry_Meso_Medium
